method,task,params_mean,params_std,params_min,params_max,flops_mean,n_seeds
Random,Death,459041,0,459041,459041,1342177408,1
Random,Stay>7d,459041,0,459041,459041,1342177408,1
Random,Readmit-3M,459041,0,459041,459041,1342177408,1
Random,Pheno-6M,459569,0,459569,459569,1342177408,1
Random,Pheno-12M,459569,0,459569,459569,1342177408,1
EA,Death,459041,0,459041,459041,1342177408,1
EA,Stay>7d,1294817,0,1294817,1294817,268435968,1
EA,Readmit-3M,1294817,0,1294817,1294817,268435968,1
EA,Pheno-6M,459569,0,459569,459569,1342177408,1
EA,Pheno-12M,459569,0,459569,459569,1342177408,1
LLM-1shot,Death,1955425,0,1955425,1955425,1342177792,1
LLM-1shot,Stay>7d,1558881,0,1558881,1558881,671089152,1
LLM-1shot,Readmit-3M,1955425,0,1955425,1955425,1342177792,1
LLM-1shot,Pheno-6M,1957489,0,1957489,1957489,1342177792,1
LLM-1shot,Pheno-12M,1957489,0,1957489,1957489,1342177792,1
LLMatic,Death,1955425,0,1955425,1955425,1342177792,1
LLMatic,Stay>7d,1955425,0,1955425,1955425,1342177792,1
LLMatic,Readmit-3M,1955425,0,1955425,1955425,1342177792,1
LLMatic,Pheno-6M,1961073,0,1961073,1961073,1879048704,1
LLMatic,Pheno-12M,1957489,0,1957489,1957489,1342177792,1
CoLLM-NAS,Death,316257,0,316257,316257,318767232,1
CoLLM-NAS,Stay>7d,1955425,0,1955425,1955425,1342177792,1
CoLLM-NAS,Readmit-3M,1692257,0,1692257,1692257,1073742336,1
CoLLM-NAS,Pheno-6M,1694321,0,1694321,1694321,1073742336,1
CoLLM-NAS,Pheno-12M,393009,0,393009,393009,1275068544,1
MAS-NAS,Death,1822049,0,1822049,1822049,939524608,1
MAS-NAS,Stay>7d,1558881,0,1558881,1558881,671089152,1
MAS-NAS,Readmit-3M,1558881,0,1558881,1558881,671089152,1
MAS-NAS,Pheno-6M,1694321,0,1694321,1694321,1073742336,1
MAS-NAS,Pheno-12M,1562737,0,1562737,1562737,939524608,1
