method,task,budget_cutoff,evals_used_mean,best_val_auprc_mean_pct,best_val_auprc_std_pct,best_arch_num_params_mean,best_arch_num_params_std,best_arch_flops_mean,best_arch_flops_std,wall_clock_min_at_cutoff_mean,wall_clock_min_full_mean,llm_calls_at_cutoff_mean,llm_calls_full_mean,n_seeds
Random,Death,2,2.0,68.14,0.0,459041,0,1342177408,0,0.9,0.9,0.0,0.0,1
Random,Stay>7d,2,2.0,79.18,0.0,459041,0,1342177408,0,0.9,0.9,0.0,0.0,1
Random,Readmit-3M,2,2.0,32.32,0.0,297313,0,153092224,0,0.9,0.9,0.0,0.0,1
Random,Pheno-6M,2,2.0,25.77,0.0,459569,0,1342177408,0,0.3,0.3,0.0,0.0,1
Random,Pheno-12M,2,2.0,26.92,0.0,297841,0,153092224,0,0.4,0.4,0.0,0.0,1
EA,Death,2,2.0,73.22,0.0,1294817,0,268435968,0,1.0,1.0,0.0,0.0,1
EA,Stay>7d,2,2.0,82.88,0.0,1294817,0,268435968,0,1.0,1.0,0.0,0.0,1
EA,Readmit-3M,2,2.0,33.01,0.0,1294817,0,268435968,0,1.0,1.0,0.0,0.0,1
EA,Pheno-6M,2,2.0,25.77,0.0,459569,0,1342177408,0,0.4,0.4,0.0,0.0,1
EA,Pheno-12M,2,2.0,26.09,0.0,459569,0,1342177408,0,0.4,0.4,0.0,0.0,1
LLM-1shot,Death,2,2.0,74.56,0.0,1955425,0,1342177792,0,1.1,1.1,2.0,2.0,1
LLM-1shot,Stay>7d,2,2.0,82.59,0.0,1558881,0,671089152,0,1.0,1.0,2.0,2.0,1
LLM-1shot,Readmit-3M,2,2.0,32.5,0.0,1955425,0,1342177792,0,1.0,1.0,2.0,2.0,1
LLM-1shot,Pheno-6M,2,2.0,26.48,0.0,1957489,0,1342177792,0,0.5,0.5,2.0,2.0,1
LLM-1shot,Pheno-12M,2,2.0,28.59,0.0,1957489,0,1342177792,0,0.5,0.5,2.0,2.0,1
LLMatic,Death,2,2.0,74.58,0.0,1955425,0,1342177792,0,1.2,1.2,3.0,3.0,1
LLMatic,Stay>7d,2,2.0,81.95,0.0,1955425,0,1342177792,0,1.4,1.4,3.0,3.0,1
LLMatic,Readmit-3M,2,2.0,32.5,0.0,1955425,0,1342177792,0,1.1,1.1,3.0,3.0,1
LLMatic,Pheno-6M,2,2.0,26.66,0.0,1961073,0,1879048704,0,0.5,0.5,3.0,3.0,1
LLMatic,Pheno-12M,2,2.0,28.59,0.0,1957489,0,1342177792,0,0.6,0.6,3.0,3.0,1
CoLLM-NAS,Death,2,2.0,75.56,0.0,1692257,0,1073742336,0,1.1,1.1,2.0,2.0,1
CoLLM-NAS,Stay>7d,2,2.0,82.79,0.0,1955425,0,1342177792,0,1.2,1.2,2.0,2.0,1
CoLLM-NAS,Readmit-3M,2,2.0,32.38,0.0,1692257,0,1073742336,0,1.1,1.1,2.0,2.0,1
CoLLM-NAS,Pheno-6M,2,2.0,26.15,0.0,1694321,0,1073742336,0,0.6,0.6,2.0,2.0,1
CoLLM-NAS,Pheno-12M,2,2.0,26.4,0.0,1824113,0,939524608,0,0.7,0.7,2.0,2.0,1
MAS-NAS,Death,2,2.0,77.27,0.0,1822049,0,939524608,0,1.3,1.3,4.0,4.0,1
MAS-NAS,Stay>7d,2,2.0,83.52,0.0,1558881,0,671089152,0,1.4,1.4,4.0,4.0,1
MAS-NAS,Readmit-3M,2,2.0,32.57,0.0,1558881,0,671089152,0,1.4,1.4,4.0,4.0,1
MAS-NAS,Pheno-6M,2,2.0,26.88,0.0,1694321,0,1073742336,0,0.8,0.8,4.0,4.0,1
MAS-NAS,Pheno-12M,2,2.0,29.01,0.0,1562737,0,939524608,0,0.9,0.9,4.0,4.0,1
