task,feature,level,est_mean_shap,ci_lo,ci_hi,n_rows,n_hospitals,model_type
death,embed_dim,32,-1.5229645499999998,-1.672542121971141,-1.3733869780288586,2,1,mixedlm
death,embed_dim,128,0.9215922833333332,0.7994624602857453,1.0437221063809212,3,1,mixedlm
death,depth,1,-0.29946747000000007,-0.523529840740736,-0.07540509925926414,1,1,mixedlm
death,depth,2,0.278846315,0.12041001111699512,0.4372826188830049,2,1,mixedlm
death,depth,4,-0.12237243999999997,-0.28080874388300486,0.03606386388300492,2,1,mixedlm
death,mlp_ratio,1,-0.0009915672333333332,-0.0014370645012687943,-0.0005460699653978719,3,1,mixedlm
death,mlp_ratio,4,-0.0050090149999999995,-0.005780636179441054,-0.004237393820558945,1,1,mixedlm
death,mlp_ratio,8,0.005353252000000001,0.004581630820558947,0.006124873179441055,1,1,mixedlm
death,num_heads,1,0.057086992999999926,0.006717152206220829,0.10745683379377902,1,1,mixedlm
death,num_heads,2,0.061644580000000004,0.026027663278201427,0.09726149672179858,2,1,mixedlm
death,num_heads,8,-0.08223889200000001,-0.11785580872179859,-0.04662197527820143,2,1,mixedlm
